hpol,vpol
259.0638089368472,264.3816204232966
259.94784584897394,264.33575779018753
261.700113050211,264.61646365483466
255.1557708050858,260.7299586913677
254.79340812595603,264.094280218851
254.27880920611068,259.4233317360831
255.26386831043627,257.10647799033643
253.0353321386854,257.1894939182817
249.8041691026987,258.2451586464672
251.6808279151835,256.1943294866083
248.06722938492587,256.5724026291905
248.04002546659868,255.12447581153975
249.240010630618,255.3612009400282
246.52874722892818,254.90561561393838
250.33256072449558,255.3533438767505
248.844529494479,253.09235803825032
246.26088683343804,253.72335577808678
246.45298027327954,255.12509000170445
248.6487986715518,253.80421989597716
246.49470427980714,251.86628292801305
247.63055313682995,255.0514654206291
246.1428277221444,251.68078636390118
244.89442065300017,252.13666818650844
248.0951129675963,252.56134330768342
246.59729427443776,255.1000721670998
245.56801617427158,251.7606271615366
246.2841286642742,251.4938461428286
246.36935822288123,249.45309771621558
247.02133259882513,252.5829631569458
246.63444521634403,251.36113532523942
245.27325669624153,250.15930695747167
247.2874716633609,250.798176978444
244.14795525526682,251.124840767154
245.49172875092682,251.07295889950265
248.80611546456024,252.47893577169884
243.00040601606818,250.97534153937895
246.54880437164263,252.49330448416634
244.42684980963935,253.44681901480405
246.67991831856182,253.59161477435566
245.19051876924493,252.1711306443973
243.43463991702876,248.73056509997403
247.82961757041156,250.85738098773862
245.1431021126276,250.84669622300888
245.5631129197159,247.78942756336872
245.62757758884936,253.43064686983087
246.7749537309571,254.57605339608511
246.0621744663637,252.72516961004985
246.82736707862415,255.9364005044461
247.9973022866014,251.40607815232804
246.50389781895797,252.85793633605653
244.0672451329813,254.63027077989665
246.44201151372403,254.7140584306715
247.40518638431192,252.3199182534824
248.93942801860942,252.351993064046
247.03652438241744,252.64457899150437
245.74006478084766,250.999751301202
247.75911874928192,252.00474268536232
245.960277169283,252.41943523437735
248.27046197429627,253.10301497559504
247.69138525431993,252.8314909283158
250.8451929201959,256.6153054424715
249.50797728742506,255.30008479978574
247.7878071681282,256.3015018648288
250.0672727840514,255.30856235737596
247.1575895609039,255.1588225533228
249.91809414227615,255.7637174772305
248.340328192708,255.79752240330205
249.11426052299362,255.25493745790627
247.24799637182963,254.11013513427383
249.56908477553628,254.6350365948928
251.13239829614443,254.46283765979487
249.035077170941,252.66386695492662
249.3190373363603,254.12631280129386
247.6239504022656,254.11860001173503
248.78499340036728,254.90342356279865
248.61284529131973,254.91504115086607
247.61508576464524,254.46788317817726
247.15795003750017,253.6228757715674
245.6636006646875,253.257742738458
245.8664975775186,253.16363887531236
246.5166632402438,249.9164562608338
245.41625681349416,251.9078163777251
246.98563444392525,251.0899760323687
246.56188750311574,252.7046606611039
245.09489388882108,250.63273559663946
244.84634163533235,251.493112461749
244.0654202073511,252.26907570450385
242.51976885596216,249.69318845530015
244.13198837486556,248.62024257018322
242.1673197351129,250.30085448400723
243.39343878177016,248.79233059844097
240.9913860234836,249.1755198842928
240.9066176191475,247.20100386503327
242.79027100769426,248.8565801525213
240.2448025435768,244.8962510997469
241.2627467746945,248.20969485077688
237.90052635875628,244.839469023916
239.17897236927791,243.20702656473122
238.00616677863243,246.1100247445496
236.6366433190203,244.2168524132541
237.92758086878632,244.78116602944837
235.3410952133019,242.04670096502568
237.14273973000954,242.5686497432201
236.6413625790681,243.20498378281883
237.36862465197015,244.625478300132
238.45691155204818,246.88196181209491
239.67621003151115,246.07351663839592
241.79824155599724,246.34413785529603
242.23842153370984,247.43322444289242
243.0415600258044,247.32584523791016
239.08088370814852,249.13884140239938
241.96014716049623,247.57104357823897
242.8650965202509,248.66910922393217
241.72928013589947,246.68940899776211
239.23496050137737,245.4020309405693
240.1848408856688,245.01752190855285
240.29839804455173,245.8851839492754
240.42908490099705,247.07152183484223
238.63283698144815,244.26232594036327
239.90688475208043,246.17018257430442
237.83856193912442,246.7380542211313
238.8713660083802,244.91328242401843
240.46820389678206,248.50629132437587
241.41251040333856,250.59751447930796
239.9011990022238,246.67265665294704
238.6863952505567,247.6222110749613
239.78522421665022,245.39218768506484
242.3385862536879,249.6025582185134
242.40675590811895,245.65444544735487
239.4807098315217,246.8169076197924
241.8846391543761,248.87742350145737
241.3451036682608,249.33185162821695
244.70510873648112,247.44265254927757
243.48012855781008,252.727187582754
245.7150416135875,248.3308892742527
245.0210180040908,251.1324912993882
243.80806310416227,248.7840411788937
243.17880474408958,249.93248066427202
247.29009383973425,251.03497653996797
243.79160377526262,248.6531757088937
243.74945985363982,251.86074094843843
244.07772570758462,253.1511431840382
244.30866619226404,251.771630533501
246.25912561974974,252.0589139144646
245.45052502691698,252.55049463155072
245.03157981476636,250.06675884393132
245.59413164079848,251.69932654259551
245.0801822555429,250.78269333260587
244.28425576086838,249.3012910812967
246.2311468898722,250.64798861035268
245.21497950502336,249.81693899639487
247.86696853647362,252.71705587213066
247.0055165326568,254.1032268850894
246.58575485045824,254.32637919021784
247.2418537741083,253.50159160581254
246.5828008930721,253.55398647918946
248.66899127910514,255.6905410007797
246.96468489369383,256.4035135014472
251.00554308718196,254.76272314476884
248.69211881626575,252.05313855858742
247.0922742183046,255.0139950295746
247.17690703282352,253.14454520687775
246.96141280377498,252.82322944063685
247.73284019534492,252.19075396853972
248.01757796178927,251.53913814393536
246.7985024110888,251.49764336006325
245.4792668939415,251.7752400488191
245.49967349668012,249.80480578002383
245.1104427213099,251.7586274031555
244.09926148906987,251.28248557037873
244.30955050211966,249.60278893351372
244.24547233739068,249.92639402938994
244.0449931788779,252.0702129078384
244.41240061043038,248.52128577127036
242.74413907420774,249.73557574373635
243.51873669434647,248.86452194072774
243.62485187761368,248.821083489144
244.7934180116407,252.25684965693958
247.81450509299125,253.57201232031193
246.28130990219574,254.35757187211624
248.87598487201578,252.75901880392226
246.15829590237854,255.66757636791706
244.84387918887154,255.6398011340546
248.24878940944586,253.5814122356996
246.63137906612943,251.98325200992602
248.83947062777895,254.01191573060177
247.20169559689668,253.9317559517563
245.92260482444271,252.43429016717286
246.25352162597852,252.5244544175883
249.2433545991148,253.2756813284996
246.93846269507276,253.31851979999425
245.97200435623714,250.93722335512547
245.37801940217864,254.52739418882607
243.63782204598795,251.93263444503998
246.25793374826432,250.16997660813362
242.20339118606893,250.70045039152382
244.84995798858887,249.3744638153154
245.7758744654819,250.27480986115225
245.35160138363864,252.60718144583933
241.68185621553806,248.34819800216388
244.5052997828434,251.0638327732573
245.5953794097668,248.75336633855244
245.19189992753698,251.62381108163356
248.47158936138032,254.21720880775547
248.7777093368677,251.71752537769711
249.1603246109879,252.3153617768448
247.47337195138505,253.38286899050004
247.34673777202266,253.1165516007366
245.0330386540348,253.95538369648844
247.9890455314191,252.94086086886003
245.37797657309324,252.74864417060502
248.78679249453566,254.2241214215004
247.1033415733016,253.71278595260128
249.0815964873786,250.47245385041822
246.76872128042012,252.87075302426098
243.56750943221954,251.59755069992755
246.76133524814722,253.68761196490087
246.03875145002885,251.51664780188165
248.08157103676837,254.5180602923669
248.97918236848116,254.04731120841885
246.3228963916952,255.82999372732291
249.52024956010183,254.91310043751977
246.2492700873049,253.89906598341733
246.12804705720413,253.6347597261047
247.52204905000363,252.60782474235924
247.52169831620853,253.56959132698873
247.0194817213734,254.96036763962616
246.87748195675974,255.24539123170652
248.28475298289354,252.2716675586649
250.49972787566995,255.05030870318816
249.4497670773447,254.96456828873303
250.5676326941579,254.1274848613542
247.69393839941736,255.25025329296454
247.3623617343222,254.68590536109193
247.75485275886516,254.95350677555936
247.49795574350708,254.61656980651534
247.87083638149906,253.05949969932624
248.50146682123432,254.62001065609368
247.25767277503869,253.60489114785045
248.93670229636567,254.4626801826463
248.8263315367921,254.3161160790348
248.93485225870896,252.35124309200296
248.90219935853372,253.5521098807919
247.45579115264422,253.58502390117027
247.44341486731096,251.2385464597901
245.38968781592123,252.84665468716108
245.8800926030526,249.57726892054382
244.49027553890141,251.92815145094406
247.0722800391851,252.3657347678554
245.02348104049724,252.65360897592106
246.5330893901453,253.1114847229033
244.22001597613556,252.96935814645204
247.6316944735377,254.35835430983485
245.75484507985686,252.3383369005304
248.26464667732805,253.84024591929548
248.9490029956718,252.76084515305567
245.41808669212844,252.69950852477018
