system:index,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,LaiStdDev,.geo
2019_02_06_0,34.0,32.0,16.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_02_10_0,35.0,8.0,2.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_02_14_0,33.0,0.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_02_18_0,3.0,64.0,105.0,,1.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_02_22_0,37.0,0.0,0.0,5.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_02_26_0,42.0,0.0,0.0,7.0,9.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_03_02_0,42.0,8.0,10.0,7.0,8.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_03_06_0,31.0,72.0,18.0,8.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_03_10_0,41.0,0.0,2.0,7.0,8.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_03_14_0,39.0,0.0,0.0,6.0,8.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_03_18_0,35.0,0.0,2.0,8.0,7.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_03_22_0,35.0,0.0,2.0,7.0,7.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_03_26_0,33.0,0.0,0.0,8.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_03_30_0,36.0,8.0,16.0,7.0,7.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_04_03_0,41.0,0.0,0.0,8.0,10.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_04_07_0,38.0,8.0,0.0,6.0,9.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_04_11_0,41.0,0.0,2.0,8.0,10.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_04_15_0,42.0,0.0,0.0,8.0,10.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_04_19_0,52.0,8.0,0.0,5.0,14.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_04_23_0,55.0,0.0,2.0,6.0,15.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_04_27_0,47.0,64.0,0.0,6.0,13.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_05_01_0,21.0,48.0,107.0,,4.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_05_05_0,75.0,8.0,0.0,11.0,33.0,10.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_05_09_0,29.0,48.0,105.0,,7.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_05_13_0,91.0,0.0,34.0,2.0,56.0,9.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_05_17_0,89.0,0.0,97.0,,47.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_05_21_0,89.0,0.0,32.0,3.0,54.0,9.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_05_25_0,91.0,8.0,97.0,,52.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_05_29_0,92.0,8.0,32.0,1.0,65.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_06_02_0,92.0,0.0,99.0,,53.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_06_06_0,90.0,8.0,34.0,2.0,58.0,7.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_06_10_0,94.0,0.0,32.0,0.0,68.0,0.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_06_14_0,84.0,32.0,50.0,9.0,46.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_06_18_0,68.0,8.0,105.0,,22.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_06_22_0,93.0,0.0,99.0,,55.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_06_26_0,93.0,0.0,34.0,1.0,64.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_06_30_0,82.0,32.0,34.0,10.0,44.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_07_04_0,93.0,72.0,97.0,,56.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_07_08_0,92.0,8.0,32.0,0.0,65.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_07_12_0,93.0,8.0,34.0,1.0,63.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_07_16_0,93.0,0.0,32.0,1.0,64.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_07_20_0,93.0,0.0,32.0,1.0,62.0,5.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_07_24_0,92.0,8.0,32.0,1.0,60.0,6.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_07_28_0,83.0,72.0,32.0,10.0,43.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_08_01_0,93.0,0.0,34.0,1.0,62.0,5.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_08_05_0,93.0,8.0,32.0,1.0,61.0,5.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_08_09_0,88.0,8.0,32.0,5.0,49.0,12.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_08_13_0,89.0,0.0,32.0,4.0,51.0,11.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_08_17_0,90.0,0.0,34.0,4.0,52.0,10.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_08_21_0,64.0,32.0,97.0,,20.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_08_25_0,89.0,0.0,32.0,4.0,51.0,11.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_08_29_0,88.0,0.0,34.0,5.0,50.0,12.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_09_02_0,87.0,8.0,32.0,6.0,48.0,13.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_09_06_0,86.0,8.0,32.0,7.0,47.0,13.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_09_10_0,88.0,72.0,34.0,7.0,44.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_09_14_0,87.0,8.0,32.0,8.0,44.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_09_18_0,87.0,8.0,34.0,8.0,44.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_09_22_0,63.0,0.0,2.0,5.0,17.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_09_26_0,87.0,0.0,34.0,8.0,43.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_09_30_0,81.0,0.0,0.0,8.0,32.0,9.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_10_04_0,73.0,0.0,2.0,8.0,23.0,5.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_10_08_0,78.0,0.0,0.0,8.0,27.0,7.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_10_12_0,76.0,0.0,2.0,8.0,25.0,6.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_10_16_0,64.0,0.0,2.0,8.0,13.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_10_20_0,60.0,0.0,0.0,6.0,15.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_10_24_0,45.0,0.0,2.0,5.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_10_28_0,61.0,8.0,0.0,6.0,11.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_11_01_0,48.0,0.0,0.0,6.0,8.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_11_05_0,47.0,0.0,2.0,5.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_11_09_0,47.0,0.0,0.0,6.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_11_13_0,46.0,8.0,0.0,5.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_11_17_0,37.0,48.0,8.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_11_21_0,37.0,0.0,2.0,7.0,6.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2019_11_25_0,10.0,32.0,107.0,,2.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
